"","creator","version","ns1.name","ns1.desc","lat","lon","ns1.ele","ns1.time"
"1","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24562054,127.0806439,96.08,"2019-03-18T04:36:53.224Z"
"2","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24557763,127.0806615,96.16,"2019-03-18T04:39:00.318Z"
"3","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.2455724,127.0806989,96.7,"2019-03-18T04:39:22.319Z"
"4","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24557096,127.0807383,97.29,"2019-03-18T04:39:25.300Z"
"5","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24554463,127.0807419,97.23,"2019-03-18T04:48:25.312Z"
"6","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24551086,127.0807035,96.49,"2019-03-18T05:25:44.282Z"
"7","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24553435,127.0807102,96.7,"2019-03-18T05:46:03.278Z"
"8","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24551705,127.0807247,96.84,"2019-03-18T05:46:11.278Z"
"9","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24549282,127.0807237,96.71,"2019-03-18T05:46:13.277Z"
"10","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.2454647,127.0807218,96.55,"2019-03-18T05:46:15.233Z"
"11","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24543414,127.0807189,96.36,"2019-03-18T05:46:17.277Z"
"12","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24541775,127.0807153,96.23,"2019-03-18T05:46:18.277Z"
"13","MapMyRunGPXExporter",1.1,"Walked 3.11 km on 03/18/19","workout",37.24540107,127.0807104,96.08,"2019-03-18T05:46:19.277Z"
